date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:10	126/126	---M-Z	200	added ('OK')	text/plain	etag:W/%225e1135c7-8c%22	https://www.candicecai.me/robots.txt		(from )
21:31:12	67363/67363	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2013:31:08%20GMT	https://www.candicecai.me/	/Users/josh/websites/disi/www.candicecai.me/index.html	(from )
21:31:13	53593/53593	---M-Z	200	added ('OK')	text/css	etag:W/%225ee1c086-d159%22	https://www.candicecai.me/wp-includes/css/dist/block-library/style.min.css?ver=5.4.2	/Users/josh/websites/disi/www.candicecai.me/wp-includes/css/dist/block-library/style.min7661.css	(from https://www.candicecai.me/)
21:31:13	1201/1201	---M-Z	200	added ('OK')	text/css	etag:W/%225e114587-4b1%22	https://www.candicecai.me/wp-content/themes/semplice5/style.css?ver=5.0.2	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/stylece52.css	(from https://www.candicecai.me/)
21:31:15	11425/11425	---M-Z	200	added ('OK')	text/css	etag:W/%225ee1c086-2ca1%22	https://www.candicecai.me/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.13-9993131	/Users/josh/websites/disi/www.candicecai.me/wp-includes/js/mediaelement/mediaelementplayer-legacy.minc270.css	(from https://www.candicecai.me/)
21:31:17	208143/208143	---M-Z	200	added ('OK')	text/css	etag:W/%225e114589-32d0f%22	https://www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.0.2	/Users/josh/websites/disi/www.candicecai.me/wp-content/themes/semplice5/assets/css/frontend.mince52.css	(from https://www.candicecai.me/)
21:31:17	96873/96873	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ee1c086-17a69%22	https://www.candicecai.me/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	/Users/josh/websites/disi/www.candicecai.me/wp-includes/js/jquery/jquery4a5f.js	(from https://www.candicecai.me/)
21:31:18	10056/10056	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ee1c086-2748%22	https://www.candicecai.me/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/Users/josh/websites/disi/www.candicecai.me/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.candicecai.me/)
21:31:18	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2015%20Oct%202020%2013:31:18%20GMT	https://www.candicecai.me/xmlrpc.php?rsd	/Users/josh/websites/disi/www.candicecai.me/xmlrpc0db0.php	(from https://www.candicecai.me/)
21:31:21	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:W/%225ee1c086-415%22	https://www.candicecai.me/wp-includes/wlwmanifest.xml	/Users/josh/websites/disi/www.candicecai.me/wp-includes/wlwmanifest.xml	(from https://www.candicecai.me/)
21:31:21	2242/2242	---M-Z	200	added ('OK')	application/json	date:Thu,%2015%20Oct%202020%2013:31:21%20GMT	https://www.candicecai.me/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.candicecai.me%2F	/Users/josh/websites/disi/www.candicecai.me/wp-json/oembed/1.0/embedc249.json	(from https://www.candicecai.me/)
21:31:22	2338/2338	---M-Z	200	added ('OK')	text/xml	date:Thu,%2015%20Oct%202020%2013:31:22%20GMT	https://www.candicecai.me/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.candicecai.me%2F&format=xml	/Users/josh/websites/disi/www.candicecai.me/wp-json/oembed/1.0/embedebbd	(from https://www.candicecai.me/)
21:31:23	3334/3334	---M-Z	200	added ('OK')	image/png	etag:W/%225e12ac69-d06%22	https://www.candicecai.me/wp-content/uploads/2020/01/favicon.png	/Users/josh/websites/disi/www.candicecai.me/wp-content/uploads/2020/01/favicon.png	(from https://www.candicecai.me/)
21:31:23	95646/95646	---M-Z	200	added ('OK')	application/json	date:Thu,%2015%20Oct%202020%2013:31:20%20GMT	https://www.candicecai.me/wp-json/	/Users/josh/websites/disi/www.candicecai.me/wp-json/index.html	(from https://www.candicecai.me/)
